id,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded,code,parentCode,parent_id
88,Министерство внутренних дел Республики Казахстан,62536300.0,76423084.0,76423084.0,34841587.0,57365261.0,34707829.696,49529223.437,14821393.740999997,99.61609870411472,45.415374359925075,3,False,True,False,201.0,6.0,87.0
89,Прочие услуги в области общественного порядка и безопасности,43261905.0,46034946.0,46034946.0,14677833.4,39968930.1,14480066.611,27325254.112,12845187.501,98.65261593035932,31.45450982173412,2,False,True,False,9.0,3.0,71.0
90,Министерство юстиции Республики Казахстан,43261905.0,46034946.0,46034946.0,14677833.4,39968930.1,14480066.611,27325254.112,12845187.501,98.65261593035932,31.45450982173412,3,False,True,False,221.0,9.0,89.0
91,Образование,1207131879.0,1261640787.0,1265746831.1,592338126.6,1020977004.2,591121825.508,750426697.851,159304872.34299994,99.79466101583203,46.701426460952256,1,False,True,False,4.0,2.0,2.0
92,Дошкольное воспитание и обучение,268483.0,28063754.0,28063754.0,115230.0,3452245.0,115124.741,217110.091,101985.34999999999,99.90865312852554,0.41022573458989126,2,False,True,False,1.0,4.0,91.0
93,Министерство просвещения Республики Казахстан ,268483.0,28063754.0,28063754.0,115230.0,3452245.0,115124.741,217110.091,101985.34999999999,99.90865312852554,0.41022573458989126,3,False,True,False,224.0,1.0,92.0
94,"Начальное, основное среднее и общее среднее образование",663413096.0,669000319.0,669000319.0,347962481.3,622364252.0,347918686.937,371229276.888,23310589.951000035,99.98741405601075,52.00575800278504,2,False,True,False,2.0,4.0,91.0
95,Министерство обороны Республики Казахстан,1532679.0,1531580.0,1531580.0,753119.9,848134.0,751955.141,767801.251,15846.110000000102,99.84534215600995,49.096693675811906,3,False,True,False,208.0,2.0,94.0
96,Министерство просвещения Республики Казахстан ,651081020.0,654167087.0,654167087.0,340827936.4,613629938.0,340816970.825,363231491.644,22414520.819000006,99.99678266543647,52.099376076528294,3,False,True,False,224.0,2.0,94.0
97,Министерство науки и высшего образования Республики Казахстан,0.0,2205231.0,2205231.0,278084.0,278084.0,274527.092,274527.092,0.0,98.72092317429266,12.448904083064315,3,False,True,False,227.0,2.0,94.0
98,Министерство культуры и спорта Республики Казахстан  ,10799397.0,11096421.0,11096421.0,6103341.0,7608096.0,6075233.879,6955456.901,880223.0219999999,99.53947975379386,54.74948975890514,3,False,True,False,240.0,2.0,94.0
99,"Техническое и профессиональное, послесреднее образование",7924916.0,19254057.0,19254057.0,3513357.1,8761242.2,3488195.55,5388014.089,1899818.5389999999,99.28383169476281,18.116678214882192,2,False,True,False,4.0,4.0,91.0
100,Министерство обороны Республики Казахстан,1767484.0,1790810.0,1790810.0,874805.1,972170.2,874094.672,897102.091,23007.418999999994,99.91879013965512,48.81001736644312,3,False,True,False,208.0,4.0,99.0
101,Министерство просвещения Республики Казахстан ,3246810.0,14499168.0,14499168.0,757763.0,5150673.0,757729.659,1883697.779,1125968.12,99.99560007548534,5.2260216517251195,3,False,True,False,224.0,4.0,99.0
102,Министерство культуры и спорта Республики Казахстан  ,2910622.0,2964079.0,2964079.0,1880789.0,2638399.0,1856371.219,2607214.219,750843.0,98.7017267221363,62.628938668638725,3,False,True,False,240.0,4.0,99.0
103,Переподготовка и повышение квалификации специалистов,19939328.0,20755596.0,20755596.0,6684665.0,19520361.5,6550661.954,14360904.963,7810243.009,97.99536631977817,31.560943631780074,2,False,True,False,5.0,4.0,91.0
104,Национальный центр по правам человека,0.0,0.0,4899.4,4239.8,4239.8,203.816,2512.136,2308.32,4.8072078871644885,4.160019594236029,3,False,True,False,106.0,5.0,103.0
105,Министерство внутренних дел Республики Казахстан,0.0,0.0,782.5,205.3,574.3,205.048,333.368,128.32,99.87725280077935,26.204217252396166,3,False,True,False,201.0,5.0,103.0
106,Министерство по чрезвычайным ситуациям Республики Казахстан,0.0,0.0,21613.4,9963.0,14069.7,8808.02,12782.64,3974.619999999999,88.40730703603332,40.75258867184247,3,False,True,False,202.0,5.0,103.0
107,Министерство иностранных дел Республики Казахстан,0.0,0.0,20503.3,14516.4,20503.3,2610.6,9888.794,7278.1939999999995,17.983797635777464,12.732584510786069,3,False,True,False,204.0,5.0,103.0
108,Министерство экологии и природных ресурсов Республики Казахстан,0.0,0.0,83024.1,4242.4,41473.4,4008.88,33653.24,29644.359999999997,94.49556854610599,4.828573871923935,3,False,True,False,207.0,5.0,103.0
109,Министерство информации и общественного развития Республики Казахстан,0.0,0.0,2225.9,1319.1,2225.9,906.84,2225.88,1319.04,68.74687286786447,40.740374679904754,3,False,True,False,209.0,5.0,103.0
110,Министерство торговли и интеграции Республики Казахстан,0.0,0.0,11834.3,7581.5,11834.3,7581.5,11172.0,3590.5,100.0,64.06378070523817,3,False,True,False,211.0,5.0,103.0
111,Министерство сельского хозяйства Республики Казахстан,0.0,0.0,69478.4,27470.4,54274.5,25652.98,42771.94,17118.960000000003,93.38407886306716,36.922237702652914,3,False,True,False,212.0,5.0,103.0
112,Министерство труда и социальной защиты населения Республики Казахстан,0.0,0.0,19297.3,11123.9,15247.5,11120.6,15243.64,4123.039999999999,99.97033414539865,57.627751032527875,3,False,True,False,213.0,5.0,103.0
113,Министерство финансов Республики Казахстан,0.0,0.0,187845.1,118825.8,187845.1,118825.8,181259.1,62433.3,100.0,63.257332770458206,3,False,True,False,217.0,5.0,103.0
114,Министерство юстиции Республики Казахстан,12461.0,12461.0,55033.9,20791.8,54297.5,18728.372,38412.6,19684.228,90.07576063640474,34.03061022388019,3,False,True,False,221.0,5.0,103.0
115,"Министерство цифрового развития, инноваций и аэрокосмической промышленности Республики Казахстан",0.0,0.0,9975.3,4865.2,9975.3,3957.12,9892.8,5935.679999999999,81.33519690865741,39.669182881717845,3,False,True,False,223.0,5.0,103.0
116,Министерство просвещения Республики Казахстан ,16222425.0,16008137.0,16019406.4,4919059.3,15590734.4,4893111.909,11201318.86,6308206.950999999,99.472513149008,30.544901520196156,3,False,True,False,224.0,5.0,103.0
117,Министерство здравоохранения Республики Казахстан,447620.0,1087577.0,1190623.9,43227.9,724937.3,41550.36,81234.36,39684.0,96.11931183332986,3.48979723991766,3,False,True,False,226.0,5.0,103.0
118,Министерство науки и высшего образования Республики Казахстан,0.0,0.0,7749.4,2555.9,7749.4,741.96,7749.36,7007.4,29.02930474588208,9.574418664670814,3,False,True,False,227.0,5.0,103.0
119,Министерство культуры и спорта Республики Казахстан  ,9660.0,9660.0,13782.0,2281.0,4122.0,2143.24,4122.0,1978.7600000000002,93.96054362121875,15.55100856189232,3,False,True,False,240.0,5.0,103.0
120,Министерство энергетики Республики Казахстан,0.0,0.0,8527.3,6788.0,8527.3,6775.24,8527.24,1752.0,99.81202121390689,79.45351987147163,3,False,True,False,241.0,5.0,103.0
121,Министерство национальной экономики Республики Казахстан  ,28036.0,28036.0,51840.7,15824.6,51054.8,15095.944,51027.24,35931.296,95.39542231715177,29.119869137569516,3,False,True,False,243.0,5.0,103.0
122,Министерство индустрии и инфраструктурного развития Республики Казахстан,0.0,0.0,23153.5,10596.0,22260.1,4686.12,20730.32,16044.2,44.225368063420156,20.239359060185286,3,False,True,False,249.0,5.0,103.0
